Benchmark,Result,Time
bv16_s_split_01.smt2,TIMEOUT,25.00
bv16_s_split_02.smt2,TIMEOUT,25.00
bv16_s_split_03.smt2,SPURIOUS,0.13
bv16_s_split_04.smt2,TIMEOUT,25.00
bv16_s_split_05.smt2,SPURIOUS,2.59
bv16_s_split_06.smt2,SPURIOUS,0.51
bv16_s_split_07.smt2,FAIL,9.89
bv16_s_split_08.smt2,SPURIOUS,0.35
bv16_s_split_09.smt2,SPURIOUS,0.10
bv16_s_split_10.smt2,SPURIOUS,0.27
bv16_s_split_11.smt2,SPURIOUS,1.19
bv16_s_split_12.smt2,SPURIOUS,0.29
bv16_s_split_13.smt2,SPURIOUS,0.29
bv16_s_split_14.smt2,TIMEOUT,25.00
bv16_s_split_15.smt2,SPURIOUS,0.29
bv16_s_split_16.smt2,SPURIOUS,0.28
bv16_s_split_17.smt2,TIMEOUT,25.00
bv16_s_split_18.smt2,TIMEOUT,25.00
bv16_s_split_19.smt2,TIMEOUT,25.00
bv16_s_split_20.smt2,SPURIOUS,0.42
bv16_s_split_21.smt2,SPURIOUS,0.33
bv16_s_split_22.smt2,TIMEOUT,25.00
bv16_s_split_23.smt2,TIMEOUT,25.00
bv16_s_split_24.smt2,SPURIOUS,0.32
bv16_s_split_25.smt2,TIMEOUT,25.00
bv16_s_split_26.smt2,SPURIOUS,0.30
bv16_s_split_27.smt2,SPURIOUS,0.27
bv16_s_split_28.smt2,SPURIOUS,0.36
bv16_s_split_29.smt2,TIMEOUT,25.00
bv16_s_split_30.smt2,TIMEOUT,25.00
bv16_s_split_31.smt2,TIMEOUT,25.00
bv16_s_split_32.smt2,TIMEOUT,25.00
bv16_s_split_33.smt2,SPURIOUS,0.27
bv16_s_split_34.smt2,SPURIOUS,0.10
bv16_s_split_35.smt2,SPURIOUS,1.27
bv16_s_split_36.smt2,TIMEOUT,25.00
bv16_s_split_37.smt2,TIMEOUT,25.00
bv16_s_split_38.smt2,TIMEOUT,25.00
bv16_s_split_39.smt2,TIMEOUT,25.00
bv16_s_split_40.smt2,TIMEOUT,25.00
bv16_s_split_41.smt2,TIMEOUT,25.00
bv16_s_split_42.smt2,SPURIOUS,0.16
bv16_s_split_43.smt2,SUCCESS,0.14
bv16_s_split_44.smt2,TIMEOUT,25.00
bv16_s_split_45.smt2,SPURIOUS,0.15
bv16_s_split_46.smt2,SPURIOUS,0.28
bv16_s_split_47.smt2,SPURIOUS,0.16
bv16_s_split_48.smt2,SPURIOUS,0.15
bv16_s_split_49.smt2,SPURIOUS,0.14
bv16_s_split_50.smt2,SPURIOUS,0.31
bv16_s_split_51.smt2,TIMEOUT,25.00
bv16_s_split_52.smt2,TIMEOUT,25.00
bv16_s_split_53.smt2,TIMEOUT,25.00
bv16_s_split_54.smt2,TIMEOUT,25.00
bv16_s_split_55.smt2,SPURIOUS,0.16
bv16_s_split_56.smt2,SPURIOUS,5.39
bv16_s_split_57.smt2,TIMEOUT,25.00
bv16_s_split_58.smt2,SPURIOUS,0.26
