File,Parameters,Smart,Final_Status,Time,Source
s_split_01_c.c,SUCCESS,SUCCESS,SUCCESS,0.11,Smart_SHALLOW
s_split_02_c.c,SUCCESS,SUCCESS,SUCCESS,0.04,20k_Run
s_split_03_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_04_c.c,SUCCESS,SUCCESS,SUCCESS,0.14,Smart_SHALLOW
s_split_05_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_06_c.c,SUCCESS,SUCCESS,SUCCESS,0.12,Smart_SHALLOW
s_split_07_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_08_c.c,SUCCESS,SUCCESS,SUCCESS,0.10,Smart_SHALLOW
s_split_09_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_10_c.c,SUCCESS,SUCCESS,SUCCESS,0.07,Smart_SHALLOW
s_split_11_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_12_c.c,SUCCESS,SUCCESS,SUCCESS,0.12,Smart_SHALLOW
s_split_13_c.c,TIMEOUT,SUCCESS,SUCCESS,7.84,Smart_SHALLOW
s_split_14_c.c,SUCCESS,SUCCESS,SUCCESS,0.04,20k_Run
s_split_15_c.c,SUCCESS,SUCCESS,SUCCESS,0.12,20k_Run
s_split_16_c.c,SUCCESS,SUCCESS,SUCCESS,0.15,Smart_SHALLOW
s_split_17_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_18_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_19_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_20_c.c,SUCCESS,SUCCESS,SUCCESS,0.15,Smart_SHALLOW
s_split_21_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_22_c.c,SUCCESS,SUCCESS,SUCCESS,0.12,Smart_SHALLOW
s_split_23_c.c,TIMEOUT,SUCCESS,SUCCESS,8.26,Smart_SHALLOW
s_split_24_c.c,TIMEOUT,SUCCESS,SUCCESS,3.72,Smart_SHALLOW
s_split_25_c.c,TIMEOUT,SUCCESS,SUCCESS,8.58,Smart_SHALLOW
s_split_26_c.c,TIMEOUT,SUCCESS,SUCCESS,4.40,Smart_SHALLOW
s_split_27_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_28_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_29_c.c,SUCCESS,SUCCESS,SUCCESS,0.04,Smart_SHALLOW
s_split_30_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_31_c.c,TIMEOUT,SUCCESS,SUCCESS,1.35,Smart_SHALLOW
s_split_32_c.c,TIMEOUT,SUCCESS,SUCCESS,3.91,Smart_SHALLOW
s_split_33_c.c,TIMEOUT,SUCCESS,SUCCESS,8.22,Smart_SHALLOW
s_split_34_c.c,TIMEOUT,SUCCESS,SUCCESS,8.02,Smart_SHALLOW
s_split_35_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_36_c.c,SUCCESS,SUCCESS,SUCCESS,0.12,Smart_SHALLOW
s_split_37_c.c,SUCCESS,SUCCESS,SUCCESS,0.03,20k_Run
s_split_38_c.c,SUCCESS,SUCCESS,SUCCESS,0.08,Smart_SHALLOW
s_split_39_c.c,SUCCESS,SUCCESS,SUCCESS,0.05,20k_Run
s_split_40_c.c,SUCCESS,SUCCESS,SUCCESS,0.04,20k_Run
s_split_41_c.c,SUCCESS,SUCCESS,SUCCESS,0.08,Smart_SHALLOW
s_split_42_c.c,SUCCESS,SUCCESS,SUCCESS,0.10,Smart_SHALLOW
s_split_43_c.c,SUCCESS,SUCCESS,SUCCESS,0.08,Smart_SHALLOW
s_split_44_c.c,SUCCESS,SUCCESS,SUCCESS,0.07,Smart_SHALLOW
s_split_45_c.c,SUCCESS,SUCCESS,SUCCESS,0.11,Smart_SHALLOW
s_split_46_c.c,SUCCESS,SUCCESS,SUCCESS,0.08,Smart_SHALLOW
s_split_47_c.c,TIMEOUT,SUCCESS,SUCCESS,10.02,Smart_SHALLOW
s_split_48_c.c,SUCCESS,SUCCESS,SUCCESS,0.11,Smart_SHALLOW
s_split_49_c.c,SUCCESS,SUCCESS,SUCCESS,0.10,Smart_SHALLOW
s_split_50_c.c,SUCCESS,SUCCESS,SUCCESS,0.13,Smart_SHALLOW
s_split_51_c.c,SUCCESS,SUCCESS,SUCCESS,0.10,Smart_SHALLOW
s_split_52_c.c,SUCCESS,SUCCESS,SUCCESS,0.22,Smart_SHALLOW
s_split_53_c.c,SUCCESS,SUCCESS,SUCCESS,0.17,Smart_SHALLOW
s_split_54_c.c,SUCCESS,SUCCESS,SUCCESS,0.14,Smart_SHALLOW
s_split_55_c.c,SUCCESS,SUCCESS,SUCCESS,0.11,Smart_SHALLOW
s_split_56_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
s_split_57_c.c,SUCCESS,SUCCESS,SUCCESS,0.09,Smart_SHALLOW
s_split_58_c.c,TIMEOUT,TIMEOUT,TIMEOUT,30.00,Smart_SHALLOW
