File,Mode,Status,Time
s_split_01_c.c,SHALLOW,BUG_FOUND,0.11
s_split_02_c.c,SHALLOW,BUG_FOUND,0.05
s_split_03_c.c,SHALLOW,TIMEOUT,30.00
s_split_04_c.c,SHALLOW,BUG_FOUND,0.14
s_split_05_c.c,SHALLOW,TIMEOUT,30.00
s_split_06_c.c,SHALLOW,BUG_FOUND,0.12
s_split_07_c.c,SHALLOW,TIMEOUT,30.00
s_split_08_c.c,SHALLOW,BUG_FOUND,0.10
s_split_09_c.c,SHALLOW,BUG_FOUND,0.03
s_split_10_c.c,SHALLOW,BUG_FOUND,0.07
s_split_11_c.c,SHALLOW,TIMEOUT,30.00
s_split_12_c.c,SHALLOW,BUG_FOUND,0.12
s_split_13_c.c,SHALLOW,BUG_FOUND,7.84
s_split_14_c.c,SHALLOW,BUG_FOUND,0.04
s_split_15_c.c,SHALLOW,BUG_FOUND,0.13
s_split_16_c.c,SHALLOW,BUG_FOUND,0.15
s_split_17_c.c,SHALLOW,TIMEOUT,30.00
s_split_18_c.c,SHALLOW,BUG_FOUND,0.03
s_split_19_c.c,SHALLOW,BUG_FOUND,0.03
s_split_20_c.c,SHALLOW,BUG_FOUND,0.15
s_split_21_c.c,SHALLOW,BUG_FOUND,0.03
s_split_22_c.c,SHALLOW,BUG_FOUND,0.12
s_split_23_c.c,SHALLOW,BUG_FOUND,8.26
s_split_24_c.c,SHALLOW,BUG_FOUND,3.72
s_split_25_c.c,SHALLOW,BUG_FOUND,8.58
s_split_26_c.c,SHALLOW,BUG_FOUND,4.40
s_split_27_c.c,SHALLOW,TIMEOUT,30.00
s_split_28_c.c,SHALLOW,TIMEOUT,30.00
s_split_29_c.c,SHALLOW,BUG_FOUND,0.04
s_split_30_c.c,SHALLOW,BUG_FOUND,0.03
s_split_31_c.c,SHALLOW,BUG_FOUND,1.35
s_split_32_c.c,SHALLOW,BUG_FOUND,3.91
s_split_33_c.c,SHALLOW,BUG_FOUND,8.22
s_split_34_c.c,SHALLOW,BUG_FOUND,8.02
s_split_35_c.c,SHALLOW,TIMEOUT,30.00
s_split_36_c.c,SHALLOW,BUG_FOUND,0.12
s_split_37_c.c,SHALLOW,BUG_FOUND,0.03
s_split_38_c.c,SHALLOW,BUG_FOUND,0.08
s_split_39_c.c,SHALLOW,BUG_FOUND,0.05
s_split_40_c.c,SHALLOW,BUG_FOUND,0.04
s_split_41_c.c,SHALLOW,BUG_FOUND,0.08
s_split_42_c.c,SHALLOW,BUG_FOUND,0.10
s_split_43_c.c,SHALLOW,BUG_FOUND,0.08
s_split_44_c.c,SHALLOW,BUG_FOUND,0.07
s_split_45_c.c,SHALLOW,BUG_FOUND,0.11
s_split_46_c.c,SHALLOW,BUG_FOUND,0.08
s_split_47_c.c,SHALLOW,BUG_FOUND,10.02
s_split_48_c.c,SHALLOW,BUG_FOUND,0.11
s_split_49_c.c,SHALLOW,BUG_FOUND,0.10
s_split_50_c.c,SHALLOW,BUG_FOUND,0.13
s_split_51_c.c,SHALLOW,BUG_FOUND,0.10
s_split_52_c.c,SHALLOW,BUG_FOUND,0.22
s_split_53_c.c,SHALLOW,BUG_FOUND,0.17
s_split_54_c.c,SHALLOW,BUG_FOUND,0.14
s_split_55_c.c,SHALLOW,BUG_FOUND,0.11
s_split_56_c.c,SHALLOW,TIMEOUT,30.00
s_split_57_c.c,SHALLOW,BUG_FOUND,0.09
s_split_58_c.c,SHALLOW,TIMEOUT,30.00
