Benchmark,PBE_Status,PBE_Time,TR_Status,TR_Time
s_split_01/bv64_s_split_01.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_02/bv64_s_split_02.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_03/bv64_s_split_03.smt2,SUCCESS,0.12,TIMEOUT,60.00
s_split_04/bv64_s_split_04.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_05/bv64_s_split_05.smt2,SUCCESS,2.84,TIMEOUT,60.00
s_split_06/bv64_s_split_06.smt2,SUCCESS,0.23,TIMEOUT,60.00
s_split_07/bv64_s_split_07.smt2,SUCCESS,1.38,TIMEOUT,60.00
s_split_08/bv64_s_split_08.smt2,SUCCESS,0.15,FAIL,0.04
s_split_09/bv64_s_split_09.smt2,SUCCESS,0.09,FAIL,0.03
s_split_10/bv64_s_split_10.smt2,SUCCESS,0.70,FAIL,0.70
s_split_11/bv64_s_split_11.smt2,SUCCESS,3.21,FAIL,0.04
s_split_12/bv64_s_split_12.smt2,SUCCESS,0.17,FAIL,0.05
s_split_13/bv64_s_split_13.smt2,SUCCESS,0.65,FAIL,0.54
s_split_14/bv64_s_split_14.smt2,TIMEOUT,60.00,FAIL,0.62
s_split_15/bv64_s_split_15.smt2,SUCCESS,0.58,FAIL,0.48
s_split_16/bv64_s_split_16.smt2,SUCCESS,0.81,FAIL,0.78
s_split_17/bv64_s_split_17.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_18/bv64_s_split_18.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_19/bv64_s_split_19.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_20/bv64_s_split_20.smt2,SUCCESS,0.33,FAIL,0.06
s_split_21/bv64_s_split_21.smt2,SUCCESS,0.22,FAIL,0.07
s_split_22/bv64_s_split_22.smt2,TIMEOUT,60.00,FAIL,0.94
s_split_23/bv64_s_split_23.smt2,TIMEOUT,60.00,FAIL,0.63
s_split_24/bv64_s_split_24.smt2,SUCCESS,0.18,FAIL,0.05
s_split_25/bv64_s_split_25.smt2,TIMEOUT,60.00,FAIL,1.48
s_split_26/bv64_s_split_26.smt2,SUCCESS,0.67,FAIL,0.60
s_split_27/bv64_s_split_27.smt2,SUCCESS,0.60,FAIL,0.46
s_split_28/bv64_s_split_28.smt2,SUCCESS,0.79,FAIL,0.56
s_split_29/bv64_s_split_29.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_30/bv64_s_split_30.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_31/bv64_s_split_31.smt2,TIMEOUT,60.00,FAIL,0.05
s_split_32/bv64_s_split_32.smt2,TIMEOUT,60.00,FAIL,0.08
s_split_33/bv64_s_split_33.smt2,SUCCESS,3.34,FAIL,3.20
s_split_34/bv64_s_split_34.smt2,SUCCESS,0.09,FAIL,0.04
s_split_35/bv64_s_split_35.smt2,SUCCESS,1.34,TIMEOUT,60.00
s_split_36/bv64_s_split_36.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_37/bv64_s_split_37.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_38/bv64_s_split_38.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_39/bv64_s_split_39.smt2,TIMEOUT,60.00,FAIL,0.43
s_split_40/bv64_s_split_40.smt2,TIMEOUT,60.00,FAIL,0.70
s_split_41/bv64_s_split_41.smt2,TIMEOUT,60.00,FAIL,0.04
s_split_42/bv64_s_split_42.smt2,SUCCESS,0.14,TIMEOUT,60.00
s_split_43/bv64_s_split_43.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_44/bv64_s_split_44.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_45/bv64_s_split_45.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_46/bv64_s_split_46.smt2,SUCCESS,0.65,FAIL,0.56
s_split_47/bv64_s_split_47.smt2,SUCCESS,0.16,TIMEOUT,60.00
s_split_48/bv64_s_split_48.smt2,SUCCESS,0.14,TIMEOUT,60.00
s_split_49/bv64_s_split_49.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_50/bv64_s_split_50.smt2,SUCCESS,0.82,FAIL,0.73
s_split_51/bv64_s_split_51.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_52/bv64_s_split_52.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_53/bv64_s_split_53.smt2,TIMEOUT,60.00,FAIL,0.72
s_split_54/bv64_s_split_54.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_55/bv64_s_split_55.smt2,SUCCESS,0.15,TIMEOUT,60.00
s_split_56/bv64_s_split_56.smt2,SUCCESS,25.64,TIMEOUT,60.00
s_split_57/bv64_s_split_57.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_58/bv64_s_split_58.smt2,SUCCESS,0.59,FAIL,0.47
