Benchmark,TR_Status,TR_Time
s_split_01/bv64_s_split_01.smt2,TIMEOUT,60.00
s_split_02/bv64_s_split_02.smt2,TIMEOUT,60.00
s_split_03/bv64_s_split_03.smt2,TIMEOUT,60.00
s_split_04/bv64_s_split_04.smt2,TIMEOUT,60.00
s_split_05/bv64_s_split_05.smt2,TIMEOUT,60.00
s_split_06/bv64_s_split_06.smt2,TIMEOUT,60.00
s_split_07/bv64_s_split_07.smt2,TIMEOUT,60.00
s_split_08/bv64_s_split_08.smt2,TIMEOUT,60.00
s_split_09/bv64_s_split_09.smt2,TIMEOUT,60.00
s_split_10/bv64_s_split_10.smt2,TIMEOUT,60.00
s_split_11/bv64_s_split_11.smt2,TIMEOUT,60.00
s_split_12/bv64_s_split_12.smt2,TIMEOUT,60.00
s_split_13/bv64_s_split_13.smt2,TIMEOUT,60.00
s_split_14/bv64_s_split_14.smt2,TIMEOUT,60.00
s_split_15/bv64_s_split_15.smt2,TIMEOUT,60.00
s_split_16/bv64_s_split_16.smt2,TIMEOUT,60.00
s_split_17/bv64_s_split_17.smt2,TIMEOUT,60.00
s_split_18/bv64_s_split_18.smt2,TIMEOUT,60.00
s_split_19/bv64_s_split_19.smt2,TIMEOUT,60.00
s_split_20/bv64_s_split_20.smt2,TIMEOUT,60.00
s_split_21/bv64_s_split_21.smt2,TIMEOUT,60.00
s_split_22/bv64_s_split_22.smt2,TIMEOUT,60.00
s_split_23/bv64_s_split_23.smt2,TIMEOUT,60.00
s_split_24/bv64_s_split_24.smt2,TIMEOUT,60.00
