Benchmark,PBE_Status,PBE_Time,TR_Status,TR_Time
s_split_01/bv16_s_split_01.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_01/bv32_s_split_01.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_01/bv64_s_split_01.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_02/bv16_s_split_02.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_02/bv32_s_split_02.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_02/bv64_s_split_02.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_03/bv16_s_split_03.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_03/bv32_s_split_03.smt2,SUCCESS,0.13,TIMEOUT,60.00
s_split_03/bv64_s_split_03.smt2,SUCCESS,0.15,TIMEOUT,60.00
s_split_04/bv16_s_split_04.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_04/bv32_s_split_04.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_04/bv64_s_split_04.smt2,TIMEOUT,60.00,TIMEOUT,60.00
s_split_05/bv16_s_split_05.smt2,SUCCESS,2.08,TIMEOUT,60.00
s_split_05/bv32_s_split_05.smt2,SUCCESS,2.09,TIMEOUT,60.00
s_split_05/bv64_s_split_05.smt2,SUCCESS,2.45,TIMEOUT,60.00
s_split_06/bv16_s_split_06.smt2,SUCCESS,0.18,TIMEOUT,60.00
s_split_06/bv32_s_split_06.smt2,SUCCESS,0.19,TIMEOUT,60.00
s_split_06/bv64_s_split_06.smt2,SUCCESS,0.20,TIMEOUT,60.00
s_split_07/bv16_s_split_07.smt2,SUCCESS,1.07,TIMEOUT,60.00
s_split_07/bv32_s_split_07.smt2,SUCCESS,1.16,TIMEOUT,60.00
s_split_07/bv64_s_split_07.smt2,SUCCESS,1.17,TIMEOUT,60.00
s_split_08/bv16_s_split_08.smt2,SUCCESS,0.12,FAIL,0.03
s_split_08/bv32_s_split_08.smt2,SUCCESS,0.13,FAIL,0.03
s_split_08/bv64_s_split_08.smt2,SUCCESS,0.13,FAIL,0.04
s_split_09/bv16_s_split_09.smt2,SUCCESS,0.10,FAIL,0.03
s_split_09/bv32_s_split_09.smt2,SUCCESS,0.10,FAIL,0.03
s_split_09/bv64_s_split_09.smt2,SUCCESS,0.10,FAIL,0.03
s_split_10/bv16_s_split_10.smt2,SUCCESS,0.11,FAIL,0.04
s_split_10/bv32_s_split_10.smt2,SUCCESS,0.16,FAIL,0.08
s_split_10/bv64_s_split_10.smt2,SUCCESS,0.62,FAIL,0.55
s_split_11/bv16_s_split_11.smt2,SUCCESS,0.88,FAIL,0.04
