benchmark,bitwidth,status,trace_length,time_s
s_split_02,8,Success,300,0.36
s_split_03,8,Success,200,0.11
s_split_04,8,Success,200,0.1
s_split_05,8,Success,200,0.1
s_split_06,8,Success,600,0.57
s_split_07,8,Success,200,0.12
s_split_08,8,Success,300,0.18
s_split_09,8,Success,200,0.09
s_split_10,8,Success,200,0.09
s_split_11,8,Success,200,0.1
s_split_12,8,Success,300,0.2
s_split_13,8,Success,200,0.06
s_split_14,8,Success,200,0.09
s_split_01,8,Success,4500,2.42
s_split_15,8,Success,900,0.45
s_split_17,8,Success,200,0.07
s_split_18,8,Success,200,0.06
s_split_19,8,Success,200,0.06
s_split_20,8,Success,300,0.16
s_split_21,8,Success,200,0.05
s_split_22,8,Success,200,0.05
s_split_23,8,Success,200,0.06
s_split_24,8,Success,400,28.71
s_split_25,8,Success,200,0.05
s_split_26,8,Success,200,0.05
s_split_27,8,Success,1400,263.06
s_split_28,8,Success,200,0.22
s_split_29,8,Success,12300,7.8
s_split_30,8,Success,200,0.08
s_split_31,8,Success,200,0.07
s_split_32,8,Success,200,0.07
s_split_33,8,Success,200,0.05
s_split_34,8,Success,200,0.04
s_split_35,8,Success,200,0.05
s_split_36,8,Success,200,0.05
s_split_37,8,Success,200,0.05
s_split_38,8,Success,200,0.07
s_split_39,8,Success,500,0.18
s_split_40,8,Success,300,0.1
s_split_41,8,Success,6400,2.21
s_split_42,8,Success,200,0.05
s_split_43,8,Success,400,0.13
s_split_44,8,Success,3100,1.33
s_split_45,8,Success,200,0.05
s_split_46,8,Success,200,0.04
s_split_47,8,Success,200,0.61
s_split_48,8,Success,6300,2.49
s_split_49,8,Failed (Code -6),0,197.88
s_split_16,8,Failed (Code -6),0,1649.37
s_split_51,8,Success,200,0.07
s_split_52,8,Success,400,0.19
s_split_53,8,Failed (Code -6),0,250.5
s_split_54,8,Success,300,0.17
s_split_55,8,Success,300,0.19
s_split_56,8,Success,200,0.05
s_split_57,8,Success,20000,13.97
s_split_58,8,Success,1400,235.9
s_split_01,16,Success,10100,3.56
s_split_02,16,Success,300,0.17
s_split_03,16,Success,200,0.06
s_split_04,16,Success,200,0.05
s_split_05,16,Success,200,0.05
s_split_50,8,Failed (Code -6),0,1689.47
s_split_07,16,Success,200,0.09
s_split_08,16,Success,81200,31.75
s_split_09,16,Success,200,0.07
s_split_10,16,Success,1300,0.39
s_split_11,16,Success,200,0.05
s_split_12,16,Success,31800,15.56
s_split_13,16,Success,200,0.06
s_split_14,16,Success,200,0.09
s_split_15,16,Success,1100,0.53
s_split_16,16,Failed (Code -6),0,90.63
s_split_06,16,Success,93800,315.0
s_split_18,16,Success,200,0.05
s_split_17,16,Timeout,0,4200
s_split_20,16,Success,34900,18.51
s_split_21,16,Success,200,0.07
s_split_19,16,Timeout,0,4200
s_split_23,16,Success,200,0.1
s_split_24,16,Success,300,1.57
s_split_25,16,Success,200,0.09
s_split_26,16,Success,200,0.06
s_split_22,16,Failed (Code -6),0,122.3
s_split_28,16,Success,200,0.35
s_split_29,16,Success,300,0.14
s_split_30,16,Success,200,0.08
s_split_31,16,Success,200,0.07
s_split_32,16,Success,200,0.08
s_split_33,16,Success,200,0.08
s_split_34,16,Success,200,0.05
s_split_35,16,Success,200,0.06
s_split_27,16,Success,1200,6.02
s_split_37,16,Success,200,0.05
s_split_38,16,Success,200,0.04
s_split_39,16,Success,500,0.18
s_split_40,16,Success,300,0.14
s_split_41,16,Success,5100,1.88
s_split_36,16,Success,10100,3.46
s_split_42,16,Success,90300,55.14
s_split_44,16,Success,2100,1.13
s_split_45,16,Success,200,0.06
s_split_46,16,Success,1300,0.55
s_split_43,16,Timeout,0,4200
s_split_48,16,Success,10100,4.05
s_split_49,16,Success,15100,5.9
s_split_47,16,Timeout,0,4200
s_split_51,16,Success,10100,5.43
s_split_52,16,Success,10100,6.1
